Data do Crime;RA;# Casos;Meio Utilizado;Local;Motivação;Idade - Vítima;Idade - Autor
04/05/2018;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;25;27
05/04/2018;PLANALTINA;1;Arma de Fogo;Outros;Ciúme;50;56
03/04/2018;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;45;41
18/03/2018;CEILÂNDIA;1;Fogo;Interior de Residência;Ciúme;42;42
16/03/2018;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;32;38
06/03/2018;PLANO PILOTO;1;Arma de Fogo;Interior de Residência;Ciúme;40;39
04/03/2018;GUARÁ;1;Agressão Física;Ruas, praças, estacionamentos;Ciúme;36;36
22/02/2018;RIACHO FUNDO II;1;Arma Branca;Interior de Residência;Ciúme;60;33
03/02/2018;SOBRADINHO II;1;Arma Branca;Interior de Residência;Ciúme;43;47
19/01/2018;SANTA MARIA;1;Agressão Física;Interior de Residência;Ciúme;52;47
09/01/2018;GAMA;1;Arma de Fogo;Interior de Residência;Ciúme;18;27
09/01/2018;SÃO SEBASTIÃO;1;Arma de Fogo;Interior de Residência;Ciúme;28;37
19/11/2017;SANTA MARIA;1;Arma Branca;Interior de Residência;Ciúme;35;34
21/10/2017;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;51;52
15/10/2017;SANTA MARIA;1;Arma de Fogo;Interior de Residência;Ciúme;59;54
08/10/2017;SAMAMBAIA;1;Arma de Fogo;Interior de Residência;Ciúme;27;38
11/09/2017;CANDANGOLÂNDIA;1;Asfixia;Interior de Residência;Término Relacionamento;58;58
03/08/2017;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;23;27
09/07/2017;SÃO SEBASTIÃO;1;Arma de Fogo;Interior de Residência;Ciúme;20;52
10/04/2017;SCIA E ESTRUTURAL;1;Arma Branca;Interior de Residência;Ciúme;33;39
16/03/2017;VICENTE PIRES;1;Arma de Fogo;Interior de Residência;Término Relacionamento;29;39
12/02/2017;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;57;64
15/01/2017;SÃO SEBASTIÃO;1;Arma Branca;Interior de Residência;Ciúme;29;28
03/01/2017;RIACHO FUNDO;1;Arma Branca;Interior de Residência;Ciúme;41;53
10/12/2016;GAMA;1;Asfixia;Interior de Residência;Término Relacionamento;31;41
04/12/2016;BRAZLÂNDIA;1;Asfixia;Interior de Residência;Término Relacionamento;21;41
29/11/2016;SCIA E ESTRUTURAL;1;Arma Branca;Interior de Residência;Ciúme;48;33
28/11/2016;POR DO SOL/SOL NASCENTE;1;Fogo;Interior de Residência;Ciúme;37;30
12/11/2016;SAMAMBAIA;1;Arma Branca;Interior de Residência;Término Relacionamento;38;36
09/11/2016;GUARÁ;1;Arma Branca;Interior de Residência;Ciúme;33;22
11/10/2016;SANTA MARIA;1;Agressão Física;Ruas, praças, estacionamentos;Ciúme;34;46
20/09/2016;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;42;57
19/08/2016;GAMA;1;Agressão Física;Interior de Residência;Ciúme;43;25
18/07/2016;PLANALTINA;1;Asfixia;Interior de Residência;Ciúme;37;48
23/06/2016;RIACHO FUNDO II;1;Arma Branca;Interior de Residência;Ciúme;36;37
05/06/2016;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;26;44
28/05/2016;FERCAL;1;Arma Branca;Bares, casas de festa ou comércios de bebidas e outros;Ciúme;30;34
20/04/2016;ITAPOÃ;1;Arma de Fogo;Interior de Residência;Término Relacionamento;27;42
12/04/2016;SAMAMBAIA;1;Arma Branca;Interior de Residência;Outro;61;56
08/04/2016;SOBRADINHO;1;Arma Branca;Interior de Residência;Ciúme;47;43
03/04/2016;SANTA MARIA;1;Arma Branca;Interior de Residência;Término Relacionamento;24;40
12/03/2016;SAMAMBAIA;1;Arma de Fogo;Interior de Residência;Término Relacionamento;20;23
10/03/2016;PLANO PILOTO;1;Asfixia;Ruas, praças, estacionamentos;Término Relacionamento;20;19
07/03/2016;JARDIM BOTANICO;1;Agressão Física;Interior de Residência;Ciúme;44;22
04/01/2016;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;34;35
13/12/2015;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;20;24
04/10/2015;SOBRADINHO II;1;Arma Branca;Bares, casas de festa ou comércios de bebidas e outros;Ciúme;56;44
13/09/2015;GUARÁ;1;Arma Branca;Interior de Residência;Término Relacionamento;30;20
26/08/2015;GAMA;1;Arma de Fogo;Interior de Residência;Ciúme;20, 42;26
03/08/2015;SCIA E ESTRUTURAL;1;Arma Branca;Interior de Residência;Ciúme;24;25
19/07/2015;RIACHO FUNDO II;1;Arma de Fogo;Ruas, praças, estacionamentos;Ciúme;43;44
05/07/2015;PLANALTINA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;27;30
29/06/2015;CEILÂNDIA;1;Asfixia;Ruas, praças, estacionamentos;Ciúme;25;30
18/05/2015;BRAZLÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;52;54
15/04/2015;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;49;51
15/03/2015;CEILÂNDIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;35;43
